label,gate_altitude_m,trigger_mps,max_delta,late_stage_altitude_m,late_stage_extra_delta,brake_floor_altitude_m,brake_floor_base_throttle,brake_floor_max_throttle,eligible,success,failure_modes,termination_reason,vertical_touchdown_velocity_mps,horizontal_touchdown_velocity_mps,landing_position_error_m,tilt_angle_deg,angular_rate_norm_radps,train_dir,eval_dir
late_stage_altitude_m_minus,22.0,0.25,0.16,3.5,0.1,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.800531673796715,0.043969597021870324,0.017340542352916936,0.09301092800657448,0.0022514739587566933,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/late_stage_altitude_m_minus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/late_stage_altitude_m_minus/eval
late_stage_altitude_m_plus,22.0,0.25,0.16,4.5,0.1,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.710834778812672,0.0439112095991637,0.01741620508631037,0.09159489896323672,0.002245916024175828,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/late_stage_altitude_m_plus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/late_stage_altitude_m_plus/eval
late_stage_extra_delta_minus,22.0,0.25,0.16,4.0,0.08,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.848895315156424,0.04407442790970789,0.017332371137461076,0.09334491935039711,0.0022208777368123217,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/late_stage_extra_delta_minus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/late_stage_extra_delta_minus/eval
late_stage_extra_delta_plus,22.0,0.25,0.16,4.0,0.12000000000000001,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.688984222090756,0.043853135219417264,0.017417544879072912,0.09139835714368306,0.002262524108144299,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/late_stage_extra_delta_plus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/late_stage_extra_delta_plus/eval
brake_floor_base_throttle_minus,22.0,0.25,0.16,4.0,0.1,5.0,0.86,0.98,True,False,hard_touchdown,touchdown,-4.772219962034117,0.043919921383750074,0.017354310520405022,0.09256488486961051,0.002258718606971874,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_base_throttle_minus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_base_throttle_minus/eval
brake_floor_base_throttle_plus,22.0,0.25,0.16,4.0,0.1,5.0,0.9,0.98,True,False,hard_touchdown,touchdown,-4.696724073367794,0.043973358594410435,0.017451931797531232,0.09135065794559326,0.002224318898342165,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_base_throttle_plus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_base_throttle_plus/eval
brake_floor_max_throttle_minus,22.0,0.25,0.16,4.0,0.1,5.0,0.88,0.97,True,False,hard_touchdown,touchdown,-4.755929060892186,0.04393532047460532,0.017376184278139847,0.09231375616834153,0.00224989147922578,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_max_throttle_minus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_max_throttle_minus/eval
brake_floor_max_throttle_plus,22.0,0.25,0.16,4.0,0.1,5.0,0.88,0.99,True,False,hard_touchdown,touchdown,-4.754786816440051,0.043935944252170456,0.01737761134548809,0.09229480677304816,0.0022493647915616125,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_max_throttle_plus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_max_throttle_plus/eval
max_delta_minus,22.0,0.25,0.14,4.0,0.1,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-5.24287537383956,0.04516388160268505,0.018901817697603667,0.09865656089002844,0.0023422191200258486,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/max_delta_minus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/max_delta_minus/eval
max_delta_plus,22.0,0.25,0.18,4.0,0.1,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.262703000597511,0.042878582150373816,0.015996620798130076,0.08639350922870132,0.0021365095300545775,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/max_delta_plus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/max_delta_plus/eval
gate_altitude_m_minus,21.0,0.25,0.16,4.0,0.1,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.8109211808415635,0.04372565949966367,0.01728432924255268,0.09170102645913888,0.002272239767193623,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/gate_altitude_m_minus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/gate_altitude_m_minus/eval
gate_altitude_m_plus,23.0,0.25,0.16,4.0,0.1,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.7060992539874045,0.0441356942595765,0.017460295832924022,0.0930210892587334,0.00223923707049123,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/gate_altitude_m_plus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/gate_altitude_m_plus/eval
trigger_mps_minus,22.0,0.2,0.16,4.0,0.1,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.755357919472945,0.04393563259669224,0.017376897807717222,0.09230427990966074,0.0022496281242620894,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/trigger_mps_minus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/trigger_mps_minus/eval
trigger_mps_plus,22.0,0.3,0.16,4.0,0.1,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.755357919472945,0.04393563259669224,0.017376897807717222,0.09230427990966074,0.0022496281242620894,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/trigger_mps_plus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/trigger_mps_plus/eval
brake_floor_altitude_m_minus,22.0,0.25,0.16,4.0,0.1,4.5,0.88,0.98,True,False,hard_touchdown,touchdown,-4.768239477731644,0.04392280009150267,0.017359283122995096,0.09250149589918917,0.0022567335711003366,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_altitude_m_minus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_altitude_m_minus/eval
brake_floor_altitude_m_plus,22.0,0.25,0.16,4.0,0.1,5.5,0.88,0.98,True,False,hard_touchdown,touchdown,-4.739971852123743,0.04395268302034107,0.017398267605783457,0.09207706400926098,0.0022416249914280276,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_altitude_m_plus/train,outputs/phase2c_hybrid_rl/search_brake_prior_wide_v1/round_01/brake_floor_altitude_m_plus/eval
